"Plot Title: 20625008"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20625008, SEN S/N: 20625008)","Coupler Detached (LGR S/N: 20625008)","Coupler Attached (LGR S/N: 20625008)","Host Connected (LGR S/N: 20625008)","Stopped (LGR S/N: 20625008)","End Of File (LGR S/N: 20625008)"
1,05/30/23 03:00:00 PM,53.951,Logged,,,,
2,05/30/23 03:15:00 PM,54.169,,,,,
3,05/30/23 03:30:00 PM,54.387,,,,,
4,05/30/23 03:45:00 PM,54.561,,,,,
5,05/30/23 04:00:00 PM,54.648,,,,,
6,05/30/23 04:15:00 PM,54.734,,,,,
7,05/30/23 04:30:00 PM,54.865,,,,,
8,05/30/23 04:45:00 PM,54.952,,,,,
9,05/30/23 05:00:00 PM,55.081,,,,,
10,05/30/23 05:15:00 PM,55.213,,,,,
11,05/30/23 05:30:00 PM,55.386,,,,,
12,05/30/23 05:45:00 PM,55.429,,,,,
13,05/30/23 06:00:00 PM,55.472,,,,,
14,05/30/23 06:15:00 PM,55.472,,,,,
15,05/30/23 06:30:00 PM,55.515,,,,,
16,05/30/23 06:45:00 PM,55.515,,,,,
17,05/30/23 07:00:00 PM,55.472,,,,,
18,05/30/23 07:15:00 PM,55.429,,,,,
19,05/30/23 07:30:00 PM,55.429,,,,,
20,05/30/23 07:45:00 PM,55.429,,,,,
21,05/30/23 08:00:00 PM,55.386,,,,,
22,05/30/23 08:15:00 PM,55.299,,,,,
23,05/30/23 08:30:00 PM,55.125,,,,,
24,05/30/23 08:45:00 PM,54.909,,,,,
25,05/30/23 09:00:00 PM,54.691,,,,,
26,05/30/23 09:15:00 PM,54.473,,,,,
27,05/30/23 09:30:00 PM,54.255,,,,,
28,05/30/23 09:45:00 PM,54.037,,,,,
29,05/30/23 10:00:00 PM,53.776,,,,,
30,05/30/23 10:15:00 PM,53.515,,,,,
31,05/30/23 10:30:00 PM,53.253,,,,,
32,05/30/23 10:45:00 PM,53.035,,,,,
33,05/30/23 11:00:00 PM,52.817,,,,,
34,05/30/23 11:15:00 PM,52.597,,,,,
35,05/30/23 11:30:00 PM,52.378,,,,,
36,05/30/23 11:45:00 PM,52.160,,,,,
37,05/31/23 12:00:00 AM,51.984,,,,,
38,05/31/23 12:15:00 AM,51.764,,,,,
39,05/31/23 12:30:00 AM,51.589,,,,,
40,05/31/23 12:45:00 AM,51.413,,,,,
41,05/31/23 01:00:00 AM,51.237,,,,,
42,05/31/23 01:15:00 AM,51.062,,,,,
43,05/31/23 01:30:00 AM,50.929,,,,,
44,05/31/23 01:45:00 AM,50.752,,,,,
45,05/31/23 02:00:00 AM,50.576,,,,,
46,05/31/23 02:15:00 AM,50.445,,,,,
47,05/31/23 02:30:00 AM,50.268,,,,,
48,05/31/23 02:45:00 AM,50.092,,,,,
49,05/31/23 03:00:00 AM,49.914,,,,,
50,05/31/23 03:15:00 AM,49.782,,,,,
51,05/31/23 03:30:00 AM,49.604,,,,,
52,05/31/23 03:45:00 AM,49.428,,,,,
53,05/31/23 04:00:00 AM,49.204,,,,,
54,05/31/23 04:15:00 AM,49.028,,,,,
55,05/31/23 04:30:00 AM,48.850,,,,,
56,05/31/23 04:45:00 AM,48.628,,,,,
57,05/31/23 05:00:00 AM,48.450,,,,,
58,05/31/23 05:15:00 AM,48.227,,,,,
59,05/31/23 05:30:00 AM,48.049,,,,,
60,05/31/23 05:45:00 AM,47.871,,,,,
61,05/31/23 06:00:00 AM,47.691,,,,,
62,05/31/23 06:15:00 AM,47.557,,,,,
63,05/31/23 06:30:00 AM,47.422,,,,,
64,05/31/23 06:45:00 AM,47.289,,,,,
65,05/31/23 07:00:00 AM,47.154,,,,,
66,05/31/23 07:15:00 AM,47.064,,,,,
67,05/31/23 07:30:00 AM,46.974,,,,,
68,05/31/23 07:45:00 AM,46.931,,,,,
69,05/31/23 08:00:00 AM,46.886,,,,,
70,05/31/23 08:15:00 AM,46.886,,,,,
71,05/31/23 08:30:00 AM,46.931,,,,,
72,05/31/23 08:45:00 AM,46.974,,,,,
73,05/31/23 09:00:00 AM,47.064,,,,,
74,05/31/23 09:15:00 AM,47.199,,,,,
75,05/31/23 09:30:00 AM,47.422,,,,,
76,05/31/23 09:45:00 AM,47.602,,,,,
77,05/31/23 10:00:00 AM,47.826,,,,,
78,05/31/23 10:15:00 AM,48.094,,,,,
79,05/31/23 10:30:00 AM,48.360,,,,,
80,05/31/23 10:45:00 AM,48.672,,,,,
81,05/31/23 11:00:00 AM,49.028,,,,,
82,05/31/23 11:15:00 AM,49.383,,,,,
83,05/31/23 11:30:00 AM,49.782,,,,,
84,05/31/23 11:45:00 AM,50.223,,,,,
85,05/31/23 12:00:00 PM,50.621,,,,,
86,05/31/23 12:15:00 PM,51.062,,,,,
87,05/31/23 12:30:00 PM,51.501,,,,,
88,05/31/23 12:45:00 PM,51.984,,,,,
89,05/31/23 01:00:00 PM,52.466,,,,,
90,05/31/23 01:15:00 PM,52.903,,,,,
91,05/31/23 01:30:00 PM,53.384,,,,,
92,05/31/23 01:45:00 PM,53.865,,,,,
93,05/31/23 02:00:00 PM,54.300,,,,,
94,05/31/23 02:15:00 PM,54.820,,,,,
95,05/31/23 02:30:00 PM,55.299,,,,,
96,05/31/23 02:45:00 PM,55.733,,,,,
97,05/31/23 03:00:00 PM,56.165,,,,,
98,05/31/23 03:15:00 PM,56.469,,,,,
99,05/31/23 03:30:00 PM,56.815,,,,,
100,05/31/23 03:45:00 PM,57.160,,,,,
101,05/31/23 04:00:00 PM,57.463,,,,,
102,05/31/23 04:15:00 PM,57.765,,,,,
103,05/31/23 04:30:00 PM,57.979,,,,,
104,05/31/23 04:45:00 PM,58.152,,,,,
105,05/31/23 05:00:00 PM,58.282,,,,,
106,05/31/23 05:15:00 PM,58.455,,,,,
107,05/31/23 05:30:00 PM,58.541,,,,,
108,05/31/23 05:45:00 PM,58.626,,,,,
109,05/31/23 06:00:00 PM,58.626,,,,,
110,05/31/23 06:15:00 PM,58.626,,,,,
111,05/31/23 06:30:00 PM,58.541,,,,,
112,05/31/23 06:45:00 PM,58.455,,,,,
113,05/31/23 07:00:00 PM,58.282,,,,,
