"Plot Title: 10816960"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10816960, SEN S/N: 10816960)","Coupler Detached (LGR S/N: 10816960)","Coupler Attached (LGR S/N: 10816960)","Host Connected (LGR S/N: 10816960)","Stopped (LGR S/N: 10816960)","End Of File (LGR S/N: 10816960)"
1,07/04/22 06:00:00 PM,75.681,Logged,,,,
2,07/04/22 06:15:00 PM,75.420,,,,,
3,07/04/22 06:30:00 PM,74.597,,,,,
4,07/04/22 06:45:00 PM,73.472,,,,,
5,07/04/22 07:00:00 PM,72.307,,,,,
6,07/04/22 07:15:00 PM,71.834,,,,,
7,07/04/22 07:30:00 PM,71.577,,,,,
8,07/04/22 07:45:00 PM,71.361,,,,,
9,07/04/22 08:00:00 PM,71.146,,,,,
10,07/04/22 08:15:00 PM,70.803,,,,,
11,07/04/22 08:30:00 PM,70.416,,,,,
12,07/04/22 08:45:00 PM,70.029,,,,,
13,07/04/22 09:00:00 PM,69.942,,,,,
14,07/04/22 09:15:00 PM,70.115,,,,,
15,07/04/22 09:30:00 PM,70.158,,,,,
16,07/04/22 09:45:00 PM,70.029,,,,,
17,07/04/22 10:00:00 PM,69.814,,,,,
18,07/04/22 10:15:00 PM,69.471,,,,,
19,07/04/22 10:30:00 PM,69.085,,,,,
20,07/04/22 10:45:00 PM,68.614,,,,,
21,07/04/22 11:00:00 PM,68.099,,,,,
22,07/04/22 11:15:00 PM,67.543,,,,,
23,07/04/22 11:30:00 PM,66.985,,,,,
24,07/04/22 11:45:00 PM,66.385,,,,,
25,07/05/22 12:00:00 AM,65.829,,,,,
26,07/05/22 12:15:00 AM,65.273,,,,,
27,07/05/22 12:30:00 AM,64.717,,,,,
28,07/05/22 12:45:00 AM,64.247,,,,,
29,07/05/22 01:00:00 AM,63.819,,,,,
30,07/05/22 01:15:00 AM,63.433,,,,,
31,07/05/22 01:30:00 AM,63.005,,,,,
32,07/05/22 01:45:00 AM,62.620,,,,,
33,07/05/22 02:00:00 AM,62.191,,,,,
34,07/05/22 02:15:00 AM,61.804,,,,,
35,07/05/22 02:30:00 AM,61.376,,,,,
36,07/05/22 02:45:00 AM,60.991,,,,,
37,07/05/22 03:00:00 AM,60.647,,,,,
38,07/05/22 03:15:00 AM,60.303,,,,,
39,07/05/22 03:30:00 AM,59.959,,,,,
40,07/05/22 03:45:00 AM,59.659,,,,,
41,07/05/22 04:00:00 AM,59.272,,,,,
42,07/05/22 04:15:00 AM,58.885,,,,,
43,07/05/22 04:30:00 AM,58.455,,,,,
44,07/05/22 04:45:00 AM,57.979,,,,,
45,07/05/22 05:00:00 AM,57.549,,,,,
46,07/05/22 05:15:00 AM,57.160,,,,,
47,07/05/22 05:30:00 AM,56.815,,,,,
48,07/05/22 05:45:00 AM,56.469,,,,,
49,07/05/22 06:00:00 AM,56.208,,,,,
50,07/05/22 06:15:00 AM,55.992,,,,,
51,07/05/22 06:30:00 AM,55.863,,,,,
52,07/05/22 06:45:00 AM,55.776,,,,,
53,07/05/22 07:00:00 AM,55.733,,,,,
54,07/05/22 07:15:00 AM,55.776,,,,,
55,07/05/22 07:30:00 AM,55.863,,,,,
56,07/05/22 07:45:00 AM,55.992,,,,,
57,07/05/22 08:00:00 AM,56.165,,,,,
58,07/05/22 08:15:00 AM,56.426,,,,,
59,07/05/22 08:30:00 AM,56.944,,,,,
60,07/05/22 08:45:00 AM,58.195,,,,,
61,07/05/22 09:00:00 AM,59.358,,,,,
62,07/05/22 09:15:00 AM,60.733,,,,,
63,07/05/22 09:30:00 AM,61.848,,,,,
64,07/05/22 09:45:00 AM,63.390,,,,,
65,07/05/22 10:00:00 AM,64.845,,,,,
66,07/05/22 10:15:00 AM,66.814,,,,,
67,07/05/22 10:30:00 AM,67.158,,,,,
68,07/05/22 10:45:00 AM,71.317,,,,,
69,07/05/22 11:00:00 AM,76.681,,,,,
70,07/05/22 11:15:00 AM,76.114,,,,,
71,07/05/22 11:30:00 AM,79.612,,,,,
72,07/05/22 11:45:00 AM,96.435,,,,,
73,07/05/22 12:00:00 PM,92.950,,,,,
74,07/05/22 12:15:00 PM,94.705,,,,,
75,07/05/22 12:30:00 PM,91.495,,,,,
