"Code","Latitude","Longitude","Timezone","Description","Waterbody.Name","Waterbody.Type","Placement","Well.mixed","Active","Reference.URL","Private","logger_serial"
"TL-1",60.649506,-151.004816,"US/Alaska (UTC-9 / UTC-8)","below outlet of beaver lake","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444869"
"TL-2",60.64056,-151.061,"US/Alaska (UTC-9 / UTC-8)","adjacent to upper marathon road","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21235343"
"TL-3",60.65101,-151.09076,"US/Alaska (UTC-9 / UTC-8)","west fork beaver creek, upstream of marathon road","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444843"
"TL-4",60.65081,-151.09117,"US/Alaska (UTC-9 / UTC-8)","west fork beaver creek, upstream of marathon road, small tributary coming in from west","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444874"
"TL-5",60.64345,-151.08847,"US/Alaska (UTC-9 / UTC-8)","west fork beaver creek, upstream of marathon road, small tributary coming in from west","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444870"
"TL-6",60.64042,-151.08386,"US/Alaska (UTC-9 / UTC-8)","west fork of upper beaver creek, just downstrem of road","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444873"
"TL-7",60.62017,-151.07904,"US/Alaska (UTC-9 / UTC-8)","upstream from powerline crossing","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21235341"
"TL-8",60.62001,-151.07854,"US/Alaska (UTC-9 / UTC-8)","upstream from powerline crossing, small tributary coming in from east","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444844"
"TL-9",60.61512,-151.08595,"US/Alaska (UTC-9 / UTC-8)","at powerline crossing of beaver creek","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21444872"
"TL-10",60.61669,-151.09259,"US/Alaska (UTC-9 / UTC-8)","tributary of beaver creek at powerline trail crossing","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21235340"
"TL-11",60.570321,-151.103213,"US/Alaska (UTC-9 / UTC-8)","near snowshoe gun club","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21488145"
"TL-14",60.560059,-151.12648,"US/Alaska (UTC-9 / UTC-8)","tributary of beaver creek","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","20625008"
"TL-13",60.55588,-151.12874,"US/Alaska (UTC-9 / UTC-8)","near Juliessen st. walk in from gravel pit to east.","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","10816960"
"TL-12",60.56049,-151.12554,"US/Alaska (UTC-9 / UTC-8)","long-term KWF site -logger 1","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","20012591"
"TL-12",60.56049,-151.12554,"US/Alaska (UTC-9 / UTC-8)","long-term KWF site -logger 2","Beaver Creek","STREAM","MAIN","TRUE","TRUE","TBD","FALSE","21488142"
